REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE2","S107","ELC003_B",2026,6.33548032580556
"RE2","S107","ELC003_B",2027,6.77662009961796
"RE2","S107","ELC003_B",2028,7.24807608581117
"RE2","S107","ELC003_B",2029,7.75184223087324
"RE2","S107","ELC003_B",2030,8.29005276219941
"RE2","S107","ELC003_B",2031,8.88375792848011
"RE2","S107","ELC003_B",2032,9.52361240962183
"RE2","S107","ELC003_B",2033,10.2127646577808
"RE2","S107","ELC003_B",2034,10.954636810469
"RE2","S107","ELC003_B",2035,12.0049284811572
"RE2","S107","ELC003_B",2036,12.9332964007404
"RE2","S107","ELC003_B",2037,13.9316363121816
"RE2","S107","ELC003_B",2038,15.0052722963732
"RE2","S107","ELC003_B",2039,16.1599424016204
"RE2","S107","ELC003_B",2040,17.4018216418308
"RE2","S107","ELC003_B",2041,18.4249765998504
