REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S102","PWRDIST_A",1,2050,292.550908341514
"RE1","S102","MINBIO_A",1,2015,4.0586832
"RE1","S102","MINBIO_A",1,2016,4.0586832
"RE1","S102","MINBIO_A",1,2017,4.0586832
"RE1","S102","MINBIO_A",1,2018,4.0586832
"RE1","S102","MINBIO_A",1,2019,4.0586832
"RE1","S102","MINBIO_A",1,2020,4.0586832
"RE1","S102","MINBIO_A",1,2021,4.0586832
"RE1","S102","MINBIO_A",1,2022,4.0586832
"RE1","S102","MINBIO_A",1,2023,4.0586832
"RE1","S102","MINBIO_A",1,2024,4.0586832
"RE1","S102","MINBIO_A",1,2025,4.0586832
"RE1","S102","MINBIO_A",1,2026,4.0586832
"RE1","S102","MINBIO_A",1,2027,4.0586832
"RE1","S102","MINBIO_A",1,2028,4.0586832
"RE1","S102","MINBIO_A",1,2029,4.0586832
"RE1","S102","MINBIO_A",1,2030,2.13516978526671
"RE1","S102","PWRBIO_A",1,2015,1.41912
"RE1","S102","PWRBIO_A",1,2016,1.41912
"RE1","S102","PWRBIO_A",1,2017,1.41912
"RE1","S102","PWRBIO_A",1,2018,1.41912
"RE1","S102","PWRBIO_A",1,2019,1.41912
"RE1","S102","PWRBIO_A",1,2020,1.41912
"RE1","S102","PWRBIO_A",1,2021,1.41912
"RE1","S102","PWRBIO_A",1,2022,1.41912
"RE1","S102","PWRBIO_A",1,2023,1.41912
